,US Large Cap Equity,US Mid Cap Equity,US Small Cap Equity,Emerging Market Equity,Long Duration Treasury,TIPS,Investment Grade Credit,REITs,Commodities,High Yield Credit,Hedge Funds,Private Equity,Private Real Estate
2007-06-30,0.06440689967438185,0.057753769457553616,0.045412087523794886,0.12987109392249874,-0.024286753817942208,-0.008689629690165512,-0.011573831839868376,-0.09466443851777095,0.023855462131729954,0.001563539587491558,0.053101394623430664,0.02795077812999991,-0.30607528454099997
2007-09-30,0.019416931996111497,-0.00989371235170855,-0.032149710271085596,0.1353799811829226,0.05406096215247658,0.04462491165972593,0.022871227877729883,0.017642167702676126,0.1101434762439717,0.004018998903909221,0.022478751295089472,0.045691452468000104,0.068264139459
2007-12-31,-0.029027029499704815,-0.03377402280213948,-0.048530664324777706,0.01858848883351283,0.065912508197979,0.05397845755005326,0.01174598156048523,-0.12573845834516173,0.11808360665124074,-0.010685457192007308,0.024346910921216658,0.034669998280999925,-0.09471987342499999
2008-03-31,-0.09214674660857203,-0.08273922458102723,-0.09879447550846743,-0.10592136890249593,0.03804822593276036,0.0489919687630016,0.012331908862941887,0.022924422258490784,0.09707999182668225,-0.02972747032268852,-0.012102754354066492,-0.04609169184399997,0.036506656176999996
2008-06-30,-0.00806588160342625,0.05265193751299457,0.011129219311263094,0.021544972495081804,-0.025896702703921082,0.004721003658039402,-0.022668184388188295,-0.051139207902702655,0.2946768557189996,0.019506479183898362,0.02584744690949492,0.010420893013000088,-0.023471365859000004
2008-09-30,-0.10083973128036161,-0.10986846666551753,-0.009437322188978303,-0.24469513975850932,0.03872625516489436,-0.03862232651891562,-0.10252493633876658,0.054325375557498834,-0.2818048777606267,-0.08555878574809006,-0.06850242411211072,-0.09845811615900002,-0.18800087537099996
2008-12-31,-0.2372740201953547,-0.25738285467906885,-0.27036705710133846,-0.2589535671146773,0.27533626627521035,-0.012537680955700625,0.15348204269847798,-0.3841962456843827,-0.46821559449682404,-0.18062178847362387,-0.04535240072666602,-0.24691192903799997,-0.38567900170799996
2009-03-31,-0.09781987650097457,-0.08361719970590942,-0.14323504908150664,-0.006407915512503304,-0.10938056944234897,0.035368532588721635,-0.06471290152117115,-0.3207150365826643,-0.11988815910527273,0.0661403113016017,0.011591109907795438,0.05068918575000003,0.1439810418730001
2009-06-30,0.1810968428327111,0.1913372928353756,0.21474456926240282,0.30964421340487247,-0.09717040882536065,0.0036413590032664533,0.08198373132750536,0.29814824427565845,0.1934074214798056,0.2280055858829504,0.094612863828192,0.15513876896700007,-0.22482864192499996
2009-09-30,0.16639337812866728,0.19654342168275085,0.18624263955776144,0.20726031363541852,0.05347215789310722,0.029718099248451146,0.07867901448203862,0.3498544466861673,-0.012312776748042098,0.1420448671560013,0.06916354032720129,0.03321497794799999,0.045427697554
2009-12-31,0.056656028112334944,0.05499829522574373,0.040728297137477165,0.07549156504740107,-0.07689494581464007,0.018036936701173234,-0.006515077608094777,0.09329842159233404,0.07210240457023365,0.06182674029148161,0.029980791876172752,0.0329516772509999,-0.16302524306199995
2010-03-31,0.05971168265336524,0.08957209054421611,0.0885473318437826,0.014939421919814233,0.0023495766165593235,0.002014506917946468,0.024244672659515576,0.09915831669790798,-0.020741667308044165,0.0451264563796534,0.026983050031315736,0.050534196624999916,0.04685375440000006
2010-06-30,-0.1084846525189409,-0.09395617069475126,-0.098525188936334,-0.10809306965746612,0.148963941937587,0.0402616991752649,0.03871988113340907,-0.03852841395054085,-0.10815144250280384,-0.0006253738648104301,-0.01563916384475128,0.0001772649719999908,0.18051704473699992
2010-09-30,0.11835231898617304,0.1295979680549595,0.11080191752924451,0.19962519977794901,0.046590447910567434,0.024931049817596973,0.055059329740776874,0.13032389752942053,0.07988482332557578,0.06611345395184332,0.052353341807884535,0.064801188703,-0.038801308244999944
2010-12-31,0.1140371274424159,0.1363970706958353,0.16435984601105602,0.07301739954172781,-0.09557086841487128,-0.006582238897699599,-0.026118030321955588,0.07481582747868143,0.1362878445200082,0.0321806813831822,0.05297094839384142,0.13593050039800003,0.13309576170100001
2011-03-31,0.06160596158041698,0.09096006399023304,0.07803852588099769,0.021620442550423613,-0.014529476427888821,0.01938628256292496,0.005707673367562949,0.06367848017452227,0.09530792215332395,0.0389408099688473,0.01856436751895396,0.024310653638,-0.009995067451999962
2011-06-30,-0.005469365557615569,-0.0077475453303818,-0.01627710431410989,-0.012204299533033591,0.03383309009728008,0.03425197103001176,0.02978193448325195,0.03663457621962385,-0.08674693430079905,0.010494752623688264,-0.0035945015409611925,0.01973630597899989,0.042191521804999965
2011-09-30,-0.15708711994845803,-0.19879677673983076,-0.21807529308535656,-0.26260508707981256,0.29630934454050495,0.045590589065703346,0.031396910933793265,-0.14535830410156847,-0.11492231035329614,-0.06104281475201356,-0.04284755011263597,-0.084044928942,0.01970897241299996
2011-12-31,0.11123022585963604,0.12801794145742473,0.15256173450522237,0.09127217299737644,0.01462531231793962,0.027748441206214114,0.027366293440587608,0.15279737927917125,0.09241467236912726,0.06478555304740397,0.014172393087854562,-0.084044928942,0.01970897241299996
2012-03-31,0.12392494755679717,0.1354731566220344,0.1262900139011316,0.13205055413926003,-0.07030647884485486,0.008226682414559372,0.02337318230337626,0.10623418091465964,0.05457851006805958,0.05349445268885611,0.044353389687225686,0.10622837341300007,0.03274596013100006
2012-06-30,-0.0365658547877894,-0.04789473335160266,-0.03447474944503992,-0.07803666820303157,0.12377667287818572,0.030718035686061906,0.027351353626897446,0.03643768326844121,-0.1247843127534175,0.017865128342724246,-0.015087119184498787,0.094406075772,0.004916992622999938
